no	symbol	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en	type
63	N12_snm	163	208	212	新生代 新第三紀 中新世 後期バーディガリアン期～前期ランギアン期前期	Cenozoic Neogene Miocene late Burdigalian - early Langhian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	2
64	Pg4_snm	154	201	210	新生代 古第三紀 漸新世 チャッティアン期～新第三紀 中新世 アキタニアン期	Cenozoic Paleogene Oligocene Chattian - Neogene Miocene Aquitanian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
65	Pg3_snm	148	196	209	新生代 古第三紀 漸新世 ルペリアン期	Cenozoic Paleogene Oligocene Rupelian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
66	Pg2_snm	142	191	208	新生代 古第三紀 始新世 ルテシアン期～プリアボニアン期	Cenozoic Paleogene Eocene Lutetian - Priabonian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
67	Pg1_snm	136	186	207	新生代 古第三紀 暁新世 ダニアン期～始新世 ヤプレシアン期	Cenozoic Paleogene Paleocene Danian - Eocene Ypresian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
68	K22_snm	130	181	206	中生代 後期白亜紀 カンパニアン期～マーストリヒチアン期	Mesozoic Late Cretaceous Campanian - Maastrichtian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
69	K21_snm	124	176	205	中生代 後期白亜紀 セノマニアン期～サントニアン期	Mesozoic Late Cretaceous Cenomanian - Santonian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
70	K12_snm	118	171	204	中生代 前期白亜紀 アプチアン期～アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
71	K11_snm	112	166	203	中生代 前期白亜紀 ベリアシアン期～バレミアン期	Mesozoic Early Cretaceous Berriasian - Barremian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
72	J3_snm	106	161	202	中生代 後期ジュラ紀	Mesozoic Late Jurassic	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
73	J2_snm	100	156	201	中生代 中期ジュラ紀	Mesozoic Jurassic Middle	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
74	J1_snm	94	151	200	中生代 前期ジュラ紀	Mesozoic Jurassic Early	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
75	Tr22-3_snm	88	146	199	中生代 後期三畳紀 ラディニアン期～後期三畳紀	Mesozoic Late Triassic Ladinian - Late Triassic	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
76	Tr1-21_snm	82	141	198	中生代 前期三畳紀～後期三畳紀 アニシアン期	Mesozoic Early Triassic - Late Triassic Anisian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	3
77	Q3_sb	220	255	210	新生代 第四紀 後期更新世	Cenozoic Quaternary Late Pleistocene	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層	brackish sediments or marine & non-marine sediments mixture	1
78	Q22_sb	220	255	180	新生代 第四紀 中期更新世後期	Cenozoic Quaternary late Middle Pleistocene	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層	brackish sediments or marine & non-marine sediments mixture	1
79	Q1-21_sb	255	255	210	新生代 第四紀 更新世 ジェラシアン期～中期更新世前期	Cenozoic Quaternary Pleistocene Gelasian - early Middle Pleistocene	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層	brackish sediments or marine & non-marine sediments mixture	1
80	N3_sbc	243	232	170	新生代 新第三紀 中新世 メッシニアン期～鮮新世	Cenozoic Neogene Miocene Messinian - Pliocene	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 礫岩	"brackish, or marine & non-marine  mixture conglomerate"	2
81	N22_sbc	243	226	172	新生代 新第三紀 中新世 後期サーラバリアン期～トートニアン期	Cenozoic Neogene Miocene late Serravallian - Tortonian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 礫岩	"brackish, or marine & non-marine  mixture conglomerate"	2
82	N12_sbc	243	207	139	新生代 新第三紀 中新世 後期バーディガリアン期～前期ランギアン期前期	Cenozoic Neogene Miocene late Burdigalian - early Langhian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 礫岩	"brackish, or marine & non-marine  mixture conglomerate"	2
83	Pg4_sbc	243	190	133	新生代 古第三紀 漸新世 チャッティアン期～新第三紀 中新世 アキタニアン期	Cenozoic Paleogene Oligocene Chattian - Neogene Miocene Aquitanian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 礫岩	"brackish, or marine & non-marine  mixture conglomerate"	3
84	Pg3_sbc	243	175	133	新生代 古第三紀 漸新世 ルペリアン期	Cenozoic Paleogene Oligocene Rupelian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 礫岩	"brackish, or marine & non-marine  mixture conglomerate"	3
85	Pg2_sbc	243	158	114	新生代 古第三紀 始新世 ルテシアン期～プリアボニアン期	Cenozoic Paleogene Eocene Lutetian - Priabonian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 礫岩	"brackish, or marine & non-marine  mixture conglomerate"	3
86	Pg1_sbc	243	152	90	新生代 古第三紀 暁新世 ダニアン期～始新世 ヤプレシアン期	Cenozoic Paleogene Paleocene Danian - Eocene Ypresian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 礫岩	"brackish, or marine & non-marine  mixture conglomerate"	3
87	K22_snc	219	155	91	中生代 後期白亜紀 カンパニアン期～マーストリヒチアン期	Mesozoic Late Cretaceous Campanian - Maastrichtian	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
88	K21_snc	215	151	87	中生代 後期白亜紀 セノマニアン期～サントニアン期	Mesozoic Late Cretaceous Cenomanian - Santonian	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
89	K12_snc	211	147	83	中生代 前期白亜紀 アプチアン期～アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
90	K11_snc	207	143	79	中生代 前期白亜紀 ベリアシアン期～バレミアン期	Mesozoic Early Cretaceous Berriasian - Barremian	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
91	J3_snc	203	139	75	中生代 後期ジュラ紀	Mesozoic Late Jurassic	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
92	J2_snc	199	135	71	中生代 中期ジュラ紀	Mesozoic Jurassic Middle	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
93	J1_snc	195	131	67	中生代 前期ジュラ紀	Mesozoic Jurassic Early	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
94	Tr22-3_snc	191	127	63	中生代 後期三畳紀 ラディニアン期～後期三畳紀	Mesozoic Late Triassic Ladinian - Late Triassic	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
95	Tr1-21_snc	187	123	59	中生代 前期三畳紀～後期三畳紀 アニシアン期	Mesozoic Early Triassic - Late Triassic Anisian	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
96	N3_sbs	255	250	190	新生代 新第三紀 中新世 メッシニアン期～鮮新世	Cenozoic Neogene Miocene Messinian - Pliocene	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"brackish, or marine & non-marine  mixture sandstone, alternation of sandstone & mudstone or sandstone & mudstone "	2
97	N22_sbs	255	250	130	新生代 新第三紀 中新世 後期サーラバリアン期～トートニアン期	Cenozoic Neogene Miocene late Serravallian - Tortonian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"brackish, or marine & non-marine  mixture sandstone, alternation of sandstone & mudstone or sandstone & mudstone "	2
98	N12_sbs	255	250	83	新生代 新第三紀 中新世 後期バーディガリアン期～前期ランギアン期前期	Cenozoic Neogene Miocene late Burdigalian - early Langhian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"brackish, or marine & non-marine  mixture sandstone, alternation of sandstone & mudstone or sandstone & mudstone "	2
99	Pg4_sbs	243	240	68	新生代 古第三紀 漸新世 チャッティアン期～新第三紀 中新世 アキタニアン期	Cenozoic Paleogene Oligocene Chattian - Neogene Miocene Aquitanian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"brackish, or marine & non-marine  mixture sandstone, alternation of sandstone & mudstone or sandstone & mudstone "	3
100	Pg3_sbs	243	237	53	新生代 古第三紀 漸新世 ルペリアン期	Cenozoic Paleogene Oligocene Rupelian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"brackish, or marine & non-marine  mixture sandstone, alternation of sandstone & mudstone or sandstone & mudstone "	3
101	Pg2_sbs	243	234	38	新生代 古第三紀 始新世 ルテシアン期～プリアボニアン期	Cenozoic Paleogene Eocene Lutetian - Priabonian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"brackish, or marine & non-marine  mixture sandstone, alternation of sandstone & mudstone or sandstone & mudstone "	3
